Timestamp,x,y
46:05.5,0.0000,0.0000
46:06.8,-0.1230,-0.3525
46:08.1,-0.2870,-0.7784
46:09.4,-0.4240,-1.2042
46:10.7,-0.5470,-1.6123
46:12.0,-0.5470,-1.7791
46:13.3,-0.5200,-2.0015
46:14.6,-0.6290,-2.4096
46:15.9,-0.7521,-2.8166
46:17.2,-0.8480,-3.2247
46:18.5,-0.9021,-3.4837
46:19.8,-1.2171,-4.6335
46:21.1,-1.2441,-5.4486
46:22.4,-1.3122,-6.0412
46:23.7,-1.3942,-6.5416
46:25.0,-1.4221,-7.0420
46:26.3,-1.2852,-7.4690
46:27.6,-1.3401,-7.7647
46:28.9,-1.4352,-8.0427
46:30.2,-1.5041,-8.2473
46:31.5,-1.6132,-8.4697
46:32.8,-1.6813,-8.6732
46:34.1,-1.7912,-8.9701
46:35.4,-1.4631,-8.8956
46:36.7,-1.2302,-9.1547
46:38.0,-1.2171,-9.1547
46:39.3,-1.3532,-9.4149
46:40.6,-1.3672,-9.5261
46:41.9,-1.3811,-9.6373
46:43.2,-1.3942,-9.6184
46:44.5,-1.4221,-9.7663
46:45.8,-1.4221,-9.7663
46:47.1,-1.4221,-9.8597
46:48.4,-1.5041,-10.0820
46:49.7,-1.1072,-10.2488
46:51.0,-0.5470,-10.6558
46:52.3,-0.0960,-10.8226
46:53.6,0.2050,-11.0083
46:54.9,0.5602,-10.9527
46:56.2,0.5191,-11.1384
46:57.5,0.5331,-11.3052
46:58.8,0.5462,-11.4342
47:00.1,0.5462,-11.4164
47:01.4,0.3281,-11.2863
47:02.7,0.2731,-11.5276
47:04.0,0.3002,-11.8234
47:05.3,0.0000,-12.0646
47:06.6,-0.3559,-12.4538
47:07.9,-0.5060,-12.6017
47:09.2,-0.5060,-12.7129
47:10.5,-0.1099,-12.9175
47:11.8,0.5741,-13.1577
47:13.1,0.4101,-13.0843
47:14.4,0.2731,-13.1766
47:15.7,0.2050,-13.2322
47:17.0,0.1361,-13.2689
47:18.3,0.1640,-13.2878
47:19.6,0.0951,-13.2878
47:20.9,-0.0549,-13.2322
47:22.2,-0.0549,-13.2689
47:23.5,-0.0549,-13.3067
47:24.8,-0.0410,-13.3245
47:26.1,-0.0279,-13.3623
47:27.4,0.0000,-13.4179
47:28.7,0.0410,-13.4357
47:30.0,0.2050,-12.4727
47:31.3,0.4511,-11.3786
47:32.6,0.6832,-10.5079
47:33.9,1.0252,-9.9519
47:35.2,1.3393,-9.8218
47:36.5,1.1613,-10.0075
47:37.8,1.1072,-10.1743
47:39.1,0.9292,-10.1376
47:40.4,0.7381,-10.2666
47:41.7,0.6151,-10.4523
47:43.0,0.3961,-10.5824
47:44.3,0.0951,-11.6010
47:45.6,-0.2460,-12.5839
47:46.9,-0.7381,-13.3067
47:48.2,-1.0662,-13.7326
47:49.5,-1.2991,-14.0295
47:50.8,-1.3122,-14.3630
47:52.1,-1.2171,-14.7700
47:53.4,-1.2441,-15.0480
47:54.7,-1.5041,-15.2526
47:56.0,-1.5861,-15.4194
47:57.3,-1.7633,-15.5862
47:58.6,-1.8182,-15.6596
47:59.9,-1.8732,-15.7708
48:01.2,-1.9413,-15.7897
48:02.5,-2.0233,-15.7341
48:03.8,-2.0503,-15.6974
48:05.1,-2.0782,-14.9190
48:06.4,-7.2172,-11.2863
48:07.7,-11.1817,-8.5987
48:09.0,-14.6263,-6.5605
48:10.3,-17.5377,-4.7814
48:11.6,-19.9161,-3.5582
48:12.9,-21.7204,-3.0946
48:14.2,-22.6636,-2.9467
48:15.5,-23.5928,-2.5575
48:16.8,-23.9069,-1.6868
48:18.1,-24.5360,-1.1675
48:19.4,-25.1650,-0.6861
48:20.7,-26.6412,0.1857
48:22.0,-27.8165,0.6116
48:23.3,-28.6637,0.4081
48:24.6,-29.6208,0.2224
48:25.9,-30.7009,0.0367
48:27.2,-31.5620,-0.1301
48:28.5,-31.9582,-0.2591
48:29.8,-32.4913,-0.3892
48:31.1,-33.2564,-0.5927
48:32.4,-33.5714,-0.9263
48:33.7,-34.0905,-1.0930
48:35.0,-34.8696,-1.0753
48:36.3,-36.0449,-0.8151
48:37.6,-36.9880,-0.9641
48:38.9,-37.3300,-0.7417
48:40.2,-37.6991,-0.4259
48:41.5,-37.9451,0.4081
48:42.8,-38.6972,0.9452
48:44.1,-39.3943,2.0760
48:45.4,-40.0225,3.0946
48:46.7,-40.5556,3.9285
48:48.0,-40.9936,4.5779
48:49.3,-41.2257,4.9482
48:50.6,-41.1986,5.1150
48:51.9,-41.1166,5.2073
48:53.2,-40.8837,5.0961
48:54.5,-40.5146,4.8003
48:55.8,-39.9135,4.5779
48:57.1,-39.7494,4.8181
48:58.4,-39.7634,5.2818
48:59.7,-40.5015,5.6709
49:01.0,-40.8156,6.8941
49:02.3,-41.8957,7.5613
49:03.6,-43.0849,7.9137
49:04.9,-44.3971,7.8581
49:06.2,-45.6954,7.8025
49:07.5,-47.1167,8.2095
49:08.8,-47.8548,9.3037
49:10.1,-48.4429,8.9323
49:11.4,-49.6050,8.4697
49:12.7,-50.0561,8.2840
49:14.0,-51.7373,8.2840
49:15.3,-52.8306,7.9137
49:16.6,-53.8147,7.2466
49:17.9,-55.0179,6.6906
49:19.2,-55.4279,6.5416
49:20.5,-56.1931,6.2458
49:21.8,-57.1773,6.3937
49:23.1,-58.1885,6.2080
49:24.4,-58.5576,6.0045
49:25.7,-59.4466,5.5964
49:27.0,-60.3209,4.7447
49:28.3,-61.1820,3.8173
49:29.6,-62.2892,3.0212
49:30.9,-63.2602,2.2606
49:32.2,-63.9295,1.6868
49:33.5,-64.8045,0.9085
49:34.8,-65.5287,0.6483
49:36.1,-66.2258,0.3525
49:37.4,-66.8688,0.0556
49:38.7,-67.1419,0.2969
49:40.0,-67.2649,0.9819
49:41.3,-67.3330,1.8158
49:42.6,-67.5110,1.9270
49:43.9,-67.7841,2.4652
49:45.2,-68.0711,3.0946
49:46.5,-68.1671,3.1502
49:47.8,-67.7570,3.6505
49:49.1,-67.3880,3.9285
49:50.4,-67.5380,4.1887
49:51.7,-67.6750,4.3733
49:53.0,-67.8251,4.5034
49:54.3,-68.0301,4.5590
49:55.6,-68.0441,4.3555
49:56.9,-68.0031,4.0030
49:58.2,-67.7710,2.9467
49:59.5,-67.7160,2.5575
50:00.8,-67.7710,2.0204
50:02.1,-67.7160,1.3899
50:03.4,-67.7570,-0.1479
50:04.7,-67.8390,-1.7980
50:06.0,-68.0990,-3.0390
50:07.3,-68.3172,-3.7617
50:08.6,-68.7551,-3.6138
50:09.9,-69.3013,-4.1509
50:11.2,-69.9984,-3.9841
50:12.5,-70.9145,-4.5957
50:13.8,-71.4886,-5.7265
50:15.1,-71.8577,-6.5972
50:16.4,-72.0627,-7.0242
50:17.7,-72.2267,-6.4126
50:19.0,-72.4867,-6.3014
50:20.3,-72.3768,-6.5972
50:21.6,-72.4457,-7.0609
50:22.9,-72.1447,-7.3389
50:24.2,-71.8306,-7.8025
50:25.5,-71.5977,-8.5253
50:26.8,-71.4476,-9.0624
50:28.1,-71.3656,-9.5072
50:29.4,-71.3107,-10.0998
50:30.7,-71.3927,-10.5635
50:32.0,-71.4747,-11.7867
50:33.3,-71.4886,-12.2681
50:34.6,-71.4066,-13.3434
50:35.9,-71.3656,-13.7515
50:37.2,-71.6387,-13.5658
50:38.5,-72.0217,-13.3434
50:39.8,-72.2948,-13.4546
50:41.1,-72.6508,-14.6966
50:42.4,-73.1428,-15.3449
50:43.7,-73.6070,-14.1585
50:45.0,-73.5800,-13.9917
50:46.3,-73.5800,-13.8249
50:47.6,-73.7030,-13.4735
50:48.9,-73.7850,-14.4553
50:50.2,-74.0310,-15.1225
50:51.5,-75.0833,-15.8453
50:52.8,-75.9854,-15.5862
50:54.1,-76.5325,-16.6047
50:55.4,-77.8857,-16.4202
50:56.7,-80.1000,-16.7537
50:58.0,-82.7245,-18.2916
50:59.3,-84.7067,-19.2556
51:00.6,-85.3218,-18.7919
51:01.9,-86.1141,-19.4780
51:03.2,-86.7981,-20.0518
51:04.5,-87.3722,-20.5344
51:05.8,-87.7954,-20.9969
51:07.1,-88.1373,-21.4050
51:08.4,-88.3563,-21.8865
51:09.7,-88.0553,-22.2390
51:11.0,-87.8093,-22.5359
51:12.3,-87.4952,-22.9062
51:13.6,-86.9892,-23.3876
51:14.9,-86.5930,-23.9814
51:16.2,-86.1280,-25.4447
51:17.5,-85.6359,-25.9829
51:18.8,-85.4170,-26.4088
51:20.1,-85.1578,-26.8536
51:21.4,-84.8839,-27.1683
51:22.7,-85.1849,-27.5763
51:24.0,-85.4719,-27.9288
51:25.3,-86.2781,-28.4848
51:26.6,-86.7431,-29.2632
51:27.9,-87.2352,-30.3929
51:29.2,-87.9184,-31.9685
51:30.5,-88.2743,-32.4878
51:31.8,-88.4925,-32.3577
51:33.1,-88.7254,-32.3210
51:34.4,-88.7935,-32.4878
51:35.7,-88.9165,-32.8214
51:37.0,-89.2035,-33.2284
51:38.3,-89.5996,-33.4141
51:39.6,-89.8186,-33.6365
51:40.9,-89.1896,-34.5816
51:42.2,-88.6294,-34.4148
51:43.5,-87.6863,-35.5635
51:44.8,-87.2623,-35.3044
51:46.1,-86.9752,-34.6561
51:47.4,-85.7860,-34.0256
51:48.7,-84.3647,-33.8033
51:50.0,-82.9844,-33.3952
51:51.3,-81.5902,-32.9882
51:52.6,-80.2370,-32.4500
51:53.9,-78.8698,-31.9129
51:55.2,-77.5027,-31.3570
51:56.5,-76.1494,-30.7454
51:57.8,-74.0310,-29.5223
51:59.1,-72.0217,-28.4103
52:00.4,-69.3833,-27.6875
52:01.7,-66.0618,-27.4651
52:03.0,-62.4261,-26.9648
52:04.3,-59.0086,-25.7049
52:05.6,-56.4392,-24.8154
52:06.9,-54.4708,-23.7768
52:08.2,-52.7625,-22.9618
52:09.5,-51.3273,-22.0166
52:10.8,-49.8781,-21.0903
52:12.1,-48.4158,-20.2008
52:13.4,-47.0216,-19.2923
52:14.7,-45.5995,-18.4217
52:16.0,-44.2741,-17.8101
52:17.3,-42.6338,-16.9761
52:18.6,-41.2938,-16.2712
52:19.9,-39.6814,-15.3449
52:21.2,-38.0821,-14.4742
52:22.5,-36.3319,-13.7515
52:23.8,-34.6507,-13.1210
52:25.1,-32.5183,-12.4727
52:26.4,-30.5779,-11.9535
52:27.7,-28.5275,-10.8782
52:29.0,-26.9283,-10.1932
52:30.3,-24.2079,-9.4149
52:31.6,-22.5127,-8.6921
52:32.9,-20.6403,-7.8948
52:34.2,-19.2732,-6.8196
52:35.5,-17.0457,-4.2621
52:36.8,-14.9674,-2.8166
52:38.1,-12.9311,-2.1316
52:39.4,-11.0037,-1.3899
52:40.7,-8.8304,-0.5004
52:42.0,-7.4911,0.3147
52:43.3,-6.8350,0.4815
52:44.6,-6.0009,0.6483
52:45.9,-5.5359,1.0197
52:47.2,-5.3309,1.7235
52:48.5,-5.1668,1.7046
52:49.8,-5.2218,1.7791
52:51.1,-5.2628,1.8714
52:52.4,-5.2079,1.8158
52:53.7,-5.1668,1.8536
52:55.0,-5.0168,1.8903
52:56.3,-4.9208,2.0204
52:57.6,-4.8388,2.1127
52:58.9,-4.7158,2.3351
53:00.2,-4.6887,2.5575
53:01.5,-4.6067,2.7799
53:02.8,-4.5517,3.0212
53:04.1,-4.5107,3.2057
53:05.4,-4.4427,3.2247
53:06.7,-4.2647,3.9285
53:08.0,-4.1556,4.6513
53:09.3,-4.1417,5.3563
53:10.6,-4.1146,5.8933
53:11.9,-4.0875,5.9300
53:13.2,-4.0597,5.9489
53:14.5,-4.0597,5.9300
53:15.8,-4.0465,5.9122
53:17.1,-4.0326,5.8933
53:18.4,-4.0326,5.9122
53:19.7,-4.0465,5.9122
53:21.0,-4.0597,5.8933
